time	TdbAmb	TSet	TdbRoom	TdbSupply	QCoolSen	QCoolLat	PTot
0.0	14.001666666666699	26	25.9182631061163	25.918267651063598	0.0	0.0	0.0
0.016666666670971608	13.9975000000001	26	25.9161354020399	25.916140277578396	0.0	0.0	0.0
0.03333333332921029	13.9924999999999	26	25.914035981389798	25.914040487063104	0.0	0.0	0.0
0.0500000000001819	13.9874999999999	26	25.9119640939865	25.9119683935852	0.0	0.0	0.0
0.06666666667024401	13.9825	26	25.9099192333427	25.9099234044244	0.0	0.0	0.0
0.08333333332939219	13.9775000000001	26	25.907900952597103	25.9079050316796	0.0	0.0	0.0
0.1000000000003638	13.9724999999999	26	25.905908835631198	25.9059128396387	0.0	0.0	0.0
0.11666666667042591	13.9675	26	25.903942483843004	25.9039464210542	0.0	0.0	0.0
0.1333333333295741	13.9625	26	25.902001509526897	25.9020053848059	0.0	0.0	0.0
0.1499999999996362	13.9575000000001	26	25.900085533245	25.900089348656103	0.0	0.0	0.0
0.1666666666706078	13.9524999999999	26	25.8981941822708	25.8981979393323	0.0	0.0	0.0
0.183333333329756	13.9475	26	25.8963270897509	25.896330790053803	0.0	0.0	0.0
0.1999999999998181	13.9425000000001	26	25.894483894662198	25.894487538667804	0.0	0.0	0.0
0.2166666666707897	13.9375000000001	26	25.8926642414461	25.8926678301486	0.0	0.0	0.0
0.2333333333290284	13.9324999999999	26	25.8908677797156	25.890871314375897	0.0	0.0	0.0
0.25	13.9275	26	25.8887193380967	25.8887247685536	0.0	0.0	0.0
0.2666666666709716	13.9225000000001	26	25.8862243582726	25.886230029801197	0.0	0.0	0.0
0.2833333333292103	13.9174999999999	26	25.883762927204	25.883768248277196	0.0	0.0	0.0
0.3000000000001819	13.9124999999999	26	25.881334386556897	25.8813395038595	0.0	0.0	0.0
0.316666666670244	13.9075	26	25.878938160176396	25.8789431438379	0.0	0.0	0.0
0.3333333333293922	13.9025000000001	26	25.8765737273277	25.8765786096735	0.0	0.0	0.0
0.3500000000003638	13.8974999999999	26	25.8742405967344	25.874245393599402	0.0	0.0	0.0
0.3666666666704259	13.8925	26	25.871938294267	25.871943013613	0.0	0.0	0.0
0.3833333333295741	13.8875	26	25.8696663570862	25.8696710032904	0.0	0.0	0.0
0.3999999999996362	13.8825000000001	26	25.8674243318022	25.867428907249497	0.0	0.0	0.0
0.4166666666706078	13.8774999999999	26	25.865211772886894	25.865216279283	0.0	0.0	0.0
0.433333333329756	13.8725	26	25.8630282417597	25.8630326800943	0.0	0.0	0.0
0.4499999999998181	13.867500000000101	26	25.8608733067647	25.8608776780613	0.0	0.0	0.0
0.4666666666707897	13.8625000000001	26	25.8587465424102	25.858750847629498	0.0	0.0	0.0
0.4833333333290284	13.8574999999999	26	25.8566475298732	25.8566517700958	0.0	0.0	0.0
0.5	13.8525	26	25.8542033503713	25.8542094858213	0.0	0.0	0.0
0.5166666666709716	13.8475000000001	26	25.8514193476899	25.8514256989673	0.0	0.0	0.0
0.5333333333292103	13.8424999999999	26	25.8486731903448	25.8486791775847	0.0	0.0	0.0
0.5500000000001819	13.837499999999899	26	25.845964153231396	25.8459699257022	0.0	0.0	0.0
0.566666666670244	13.8325	26	25.8432915964006	25.8432972242466	0.0	0.0	0.0
0.5833333333293922	13.8275000000001	26	25.8406549366396	25.8406604540545	0.0	0.0	0.0
0.6000000000003638	13.8224999999999	26	25.838053621233602	25.838059043849398	0.0	0.0	0.0
0.6166666666704259	13.8175	26	25.835487116107103	25.8354924514401	0.0	0.0	0.0
0.6333333333295741	13.8125	26	25.8329548997626	25.832960152459503	0.0	0.0	0.0
0.6499999999996362	13.8075000000001	26	25.8304564605807	25.830461633140697	0.0	0.0	0.0
0.6666666666706078	13.8024999999999	26	25.827991295520803	25.827996389509202	0.0	0.0	0.0
0.683333333329756	13.7975	26	25.825558909155603	25.825563926557102	0.0	0.0	0.0
0.6999999999998181	13.7925000000001	26	25.8231588136304	25.823163755317303	0.0	0.0	0.0
0.7166666666707897	13.787500000000101	26	25.820790528909804	25.8207953959765	0.0	0.0	0.0
0.7333333333290284	13.7824999999999	26	25.8184535818285	25.8184583756351	0.0	0.0	0.0
0.75	13.7775	26	25.8157745553955	25.8157812534054	0.0	0.0	0.0
0.7666666666709716	13.7725000000001	26	25.812758751219302	25.8127656483833	0.0	0.0	0.0
0.7833333333292103	13.7674999999999	26	25.8097842386248	25.8097907603791	0.0	0.0	0.0
0.8000000000001819	13.7624999999999	26	25.8068502387331	25.8068565363627	0.0	0.0	0.0
0.816666666670244	13.7575	26	25.803956060162	25.803962205353397	0.0	0.0	0.0
0.8333333333293922	13.7525000000001	26	25.8011010693787	25.8011070959754	0.0	0.0	0.0
0.8500000000003638	13.7474999999999	26	25.7982846651442	25.7982905888558	0.0	0.0	0.0
0.8666666666704259	13.7425	26	25.795506265064603	25.795512094345604	0.0	0.0	0.0
0.8833333333295741	13.7375	26	25.792765299461003	25.7927710386143	0.0	0.0	0.0
0.8999999999996362	13.7325000000001	26	25.7900612100554	25.790066861999602	0.0	0.0	0.0
0.9166666666706078	13.7274999999999	26	25.7873934476984	25.787399014257	0.0	0.0	0.0
0.933333333329756	13.7225	26	25.7847614718592	25.784766954488	0.0	0.0	0.0
0.9499999999998181	13.7175000000001	26	25.7821647502552	25.7821701500767	0.0	0.0	0.0
0.9666666666707897	13.7125000000001	26	25.779602758462502	25.779608076978	0.0	0.0	0.0
0.9833333333290284	13.7074999999999	26	25.777074979748697	25.777080218566898	0.0	0.0	0.0
