 TIME                    	time                     	freq                     	Toa                      	Tr                       	RHr                      	Ts-exp                   	Ts-sim                   	RHs-exp                  	RHs-sim                  	Pel-exp                  	Pel-sim                  	Qc-exp                   	Qc-sim                   	Qcs-exp                  	Qcs-sim                  	Qcl-exp                  	Qcl-sim                  	
  +2.0000000000000001E-01	  +7.2000000000000000E+02	  +5.1716999999999999E+01	  +4.0957000000000001E+01	  +2.5381000000000000E+01	  +6.5060000000000002E+01	  +1.3555000000000000E+01	  +1.4337380515218495E+01	  +6.1018999999999998E+01	  +6.0618213899688186E+01	  +8.4457555555555563E-01	  +8.4660621475578945E-01	  +3.7490622222222223E+00	  +3.5601947257316269E+00	  +1.4625808333333334E+00	  +1.3661136766430111E+00	  +2.2864813888888889E+00	  +2.1940810490886160E+00	
  +2.1666666666666667E-01	  +7.8000000000000000E+02	  +5.3930999999999997E+01	  +4.0585000000000001E+01	  +2.5410000000000000E+01	  +6.5727000000000004E+01	  +1.3526999999999999E+01	  +1.2431355384696280E+01	  +4.4994000000000000E+01	  +5.3987975336551273E+01	  +8.5456055555555555E-01	  +8.9626424720300746E-01	  +3.7518238888888891E+00	  +3.7232242853982886E+00	  +1.2822177777777779E+00	  +1.4013712758153478E+00	  +2.4696061111111112E+00	  +2.3218530095829406E+00	
  +2.3333333333333334E-01	  +8.4000000000000000E+02	  +5.3246000000000002E+01	  +4.0484999999999999E+01	  +2.5388999999999999E+01	  +6.5899000000000001E+01	  +1.3448000000000000E+01	  +1.4829653510516778E+01	  +7.1046999999999997E+01	  +6.0631427012323002E+01	  +8.4063388888888890E-01	  +8.8055462858045142E-01	  +3.7239547222222220E+00	  +3.6827635272346235E+00	  +1.5591025000000001E+00	  +1.3771953283407905E+00	  +2.1648522222222222E+00	  +2.3055681988938330E+00	
  +2.5000000000000000E-01	  +9.0000000000000000E+02	  +5.3424999999999997E+01	  +4.0064999999999998E+01	  +2.5329999999999998E+01	  +5.7127000000000002E+01	  +1.3368000000000000E+01	  +1.1614681568162382E+01	  +5.3762000000000000E+01	  +6.6895971430376761E+01	  +8.2821416666666670E-01	  +8.8376595877192976E-01	  +3.6736752777777779E+00	  +3.7116785831308032E+00	  +1.5592838888888887E+00	  +1.7893619866431210E+00	  +2.1143913888888890E+00	  +1.9223165964876823E+00	
  +2.6666666666666666E-01	  +9.6000000000000000E+02	  +5.1725000000000001E+01	  +4.0201000000000001E+01	  +2.5263000000000002E+01	  +3.5021000000000001E+01	  +1.3222000000000000E+01	  +1.4323680311144335E+01	  +6.2552000000000000E+01	  +5.4575700755265821E+01	  +8.4567833333333331E-01	  +8.4493669534586446E-01	  +3.6229441666666666E+00	  +3.5754774386407089E+00	  +2.9413830555555553E+00	  +2.6695936874830206E+00	  +6.8156111111111106E-01	  +9.0588375115768816E-01	
  +2.8333333333333333E-01	  +1.0200000000000000E+03	  +5.3395000000000003E+01	  +4.0222999999999999E+01	  +2.5245000000000001E+01	  +5.1938000000000002E+01	  +1.3313000000000001E+01	  +1.3813564770920197E+01	  +7.1072999999999993E+01	  +6.7487071242558144E+01	  +8.4739666666666669E-01	  +8.8282852098496256E-01	  +3.7332558333333332E+00	  +3.6940111620514706E+00	  +2.1031080555555555E+00	  +2.0138459952888521E+00	  +1.6301475000000001E+00	  +1.6801651667626185E+00	
  +2.9999999999999999E-01	  +1.0800000000000000E+03	  +5.3447000000000003E+01	  +4.0247999999999998E+01	  +2.5236000000000001E+01	  +5.6210999999999999E+01	  +1.3382999999999999E+01	  +1.1427812983432508E+01	  +4.9369999999999997E+01	  +6.6944897046472676E+01	  +8.4265500000000004E-01	  +8.8399658678857163E-01	  +3.7491963888888891E+00	  +3.6995443183170136E+00	  +1.5595563888888890E+00	  +1.8195481897479078E+00	  +2.1896397222222221E+00	  +1.8799961285691056E+00	
  +3.1666666666666665E-01	  +1.1400000000000000E+03	  +5.3213000000000001E+01	  +4.0481000000000002E+01	  +2.5335999999999999E+01	  +6.5650999999999996E+01	  +1.3362000000000000E+01	  +1.4100935333251526E+01	  +6.2521000000000001E+01	  +5.8974140437143404E+01	  +8.3417416666666666E-01	  +8.7952499858726818E-01	  +3.7602669444444441E+00	  +3.6784824032324033E+00	  +1.4762791666666666E+00	  +1.3846671328569740E+00	  +2.2839877777777775E+00	  +2.2938152703754295E+00	
  +3.3333333333333331E-01	  +1.2000000000000000E+03	  +5.3341000000000001E+01	  +4.0380000000000003E+01	  +2.5286000000000001E+01	  +6.2694000000000003E+01	  +1.3365000000000000E+01	  +1.4456349016553908E+01	  +7.1064999999999998E+01	  +6.3497036460647912E+01	  +8.4407027777777777E-01	  +8.8203122023859659E-01	  +3.7546869444444444E+00	  +3.6895395510248705E+00	  +1.6750002777777779E+00	  +1.5204221114373946E+00	  +2.0796866666666669E+00	  +2.1691174395874766E+00	
  +3.4999999999999998E-01	  +1.2600000000000000E+03	  +5.3847000000000001E+01	  +3.9959000000000003E+01	  +2.5265000000000001E+01	  +5.6183000000000000E+01	  +1.3329000000000001E+01	  +1.1595787961850197E+01	  +5.3223999999999997E+01	  +6.7263326562404103E+01	  +8.4265527777777782E-01	  +8.9345096931789458E-01	  +3.7378744444444445E+00	  +3.7449705746935189E+00	  +1.6095950000000001E+00	  +1.8451814194201948E+00	  +2.1282791666666667E+00	  +1.8997891552733239E+00	
