 TIME                    	time                     	freq                     	Toa                      	Tr                       	Ts-exp                   	Ts-sim                   	Pel-exp                  	Pel-sim                  	Qh-exp                   	Qh-sim                   	Qhair-exp                	
  +2.9999999999999999E-01	  +2.9999999999999999E-01	  +5.9497000000000000E+01	  +9.6500000000000004E+00	  +2.2649999999999999E+01	  +4.2759999999999998E+01	  +4.3721236420171493E+01	  +9.0938583333333334E-01	  +9.6618527833044965E-01	  +4.2906388888888891E+00	  +4.5722107641586041E+00	  +4.1286030555555557E+00	
  +3.1666666666666665E-01	  +3.1700000000000000E-01	  +6.1908000000000001E+01	  +9.9070000000000000E+00	  +2.2803999999999998E+01	  +4.3290999999999997E+01	  +4.4726775946495863E+01	  +9.6158166666666667E-01	  +1.0330629721550173E+00	  +4.3800847222222226E+00	  +4.7576901206129518E+00	  +4.2015358333333337E+00	
  +3.3333333333333331E-01	  +3.3300000000000002E-01	  +5.9951999999999998E+01	  +9.8659999999999997E+00	  +2.3327000000000002E+01	  +4.4268000000000001E+01	  +4.4474701777563141E+01	  +9.3589666666666671E-01	  +9.8460194630528952E-01	  +4.5480149999999995E+00	  +4.5918369045971321E+00	  +4.2840422222222223E+00	
  +3.4999999999999998E-01	  +3.4999999999999998E-01	  +5.8045999999999999E+01	  +9.8689999999999998E+00	  +2.3312999999999999E+01	  +4.2936999999999998E+01	  +4.3950668735046094E+01	  +8.8789611111111111E-01	  +9.3625056334970336E-01	  +4.3650236111111109E+00	  +4.4810302086540492E+00	  +4.0234330555555555E+00	
  +3.6666666666666664E-01	  +3.6699999999999999E-01	  +5.8999000000000002E+01	  +9.6780000000000008E+00	  +2.3271000000000001E+01	  +4.2381999999999998E+01	  +4.3960174035522272E+01	  +8.8274777777777769E-01	  +9.6130728926418685E-01	  +4.3168366666666662E+00	  +4.4920262772667900E+00	  +3.9220530555555553E+00	
  +3.8333333333333336E-01	  +3.8300000000000001E-01	  +5.8985999999999997E+01	  +9.7219999999999995E+00	  +2.3210000000000001E+01	  +4.2292000000000002E+01	  +4.3976529924812581E+01	  +8.9586305555555557E-01	  +9.5971499870341070E-01	  +4.3512933333333335E+00	  +4.5085496083256817E+00	  +3.9169836111111112E+00	
  +4.0000000000000002E-01	  +4.0000000000000002E-01	  +5.9494999999999997E+01	  +9.7390000000000008E+00	  +2.3263000000000002E+01	  +4.2195999999999998E+01	  +4.4168650907361261E+01	  +8.7871388888888891E-01	  +9.7255259377638426E-01	  +4.3341158333333327E+00	  +4.5389916772738497E+00	  +3.8867541666666670E+00	
  +4.1666666666666669E-01	  +4.1699999999999998E-01	  +5.9396999999999998E+01	  +9.6890000000000001E+00	  +2.3187999999999999E+01	  +4.2076999999999998E+01	  +4.4038341191552725E+01	  +8.7891583333333334E-01	  +9.6989930061957497E-01	  +4.3357813888888890E+00	  +4.5266472561612883E+00	  +3.8787430555555558E+00	
  +4.3333333333333335E-01	  +4.3300000000000000E-01	  +5.7999000000000002E+01	  +9.4570000000000007E+00	  +2.3245000000000001E+01	  +4.2164999999999999E+01	  +4.3400321905818160E+01	  +8.9536361111111118E-01	  +9.3902252842146583E-01	  +4.3424744444444441E+00	  +4.3760037956094209E+00	  +3.8843350000000001E+00	
  +4.5000000000000001E-01	  +4.5000000000000001E-01	  +5.9207999999999998E+01	  +9.6839999999999993E+00	  +2.3103999999999999E+01	  +4.2069000000000003E+01	  +4.3932982714284748E+01	  +8.6679944444444446E-01	  +9.6432316595392975E-01	  +4.3516136111111106E+00	  +4.5216363280841749E+00	  +3.8949616666666667E+00	
  +4.6666666666666667E-01	  +4.6700000000000003E-01	  +5.8491999999999997E+01	  +9.6989999999999998E+00	  +2.3010999999999999E+01	  +4.2061000000000000E+01	  +4.3699130244869202E+01	  +8.8708777777777781E-01	  +9.4555157015190316E-01	  +4.3507972222222229E+00	  +4.4906502768166101E+00	  +3.9131555555555555E+00	
  +4.8333333333333334E-01	  +4.8299999999999998E-01	  +6.0418999999999997E+01	  +9.6600000000000001E+00	  +2.3029000000000000E+01	  +4.2020000000000003E+01	  +4.4170180966464351E+01	  +8.8578000000000001E-01	  +9.9687207127731081E-01	  +4.3408369444444448E+00	  +4.5890721008403359E+00	  +3.9010447222222222E+00	
  +5.0000000000000000E-01	  +5.0000000000000000E-01	  +5.8457999999999998E+01	  +9.6410000000000000E+00	  +2.3079000000000001E+01	  +4.2067999999999998E+01	  +4.3657154482361129E+01	  +8.7830972222222226E-01	  +9.4616273328049927E-01	  +4.3521233333333331E+00	  +4.4670759309900427E+00	  +3.9000275000000002E+00	
